Full Name,First Name,Last Name,District / State,Type,Party,First Elected,Gender,Race/ Ethnicity,Religion,LGBTQ,Pre-2020 Incumbent,Senate Class,Birthday,Age,Twitter,Facebook,YouTube,Prior Experience,Education,Veteran?
Dan Meuser,Dan,Meuser,Pennsylvania's 9th,Representative,Republican,2018,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,2/10/1964,57,RepMeuser,,,Secretary of Revenue of Pennsylvania,State University of New York Maritime CollegeCornell University (BA),No
Dan Newhouse,Dan,Newhouse,Washington's 4th,Representative,Republican,2014,Man,White - Non-Hispanic,Christian - Protestant - Presbyterian,No,Won,N/A,7/10/1955,65,RepNewhouse,RepNewhouse,,Washington House of Representatives,Washington State University (BS),No
Daniel Webster,Daniel,Webster,Florida's 11th,Representative,Republican,2010,Man,White - Non-Hispanic,Christian - Protestant - Southern Baptist,No,Won,N/A,4/27/1949,72,RepWebster,RepWebster,repdanwebster,Florida SenateSpeaker of Florida House of Representatives,Georgia Institute of Technology (BS),No
Danny Davis,Danny,Davis,Illinois' 7th,Representative,Democratic,1996,Man,Black - African-American,Christian - Protestant - Baptist,No,Won,N/A,9/6/1941,79,RepDannyDavis,CongressmanDKDavis,dannykdavis07,Chicago City CouncilCook County Board of Commissioners,University of Arkansas at Pine Bluff (BA)Chicago State University (MS)Union Institute & University (PhD),No
Darin LaHood,Darin,LaHood,Illinois' 18th,Representative,Republican,2015 Special,Man,White - Middle Eastern - Lebanese,Christian - Roman Catholic,No,Won,N/A,7/5/1968,53,RepLaHood,replahood,,Illinois SenateProsecutor U.S. Attorney's OfficeDeputy Prosecutor Tazewell County,"Loras College (BA)John Marshall Law School, Chicago (JD)",No
Darrell Issa,Darrell,Issa,California's 50th,Representative,Republican,"2020, 2000-2018",Man,White - Middle Eastern - Lebanese,Christian - Eastern Orthodox,No,Vacant - Resigned,N/A,11/1/1953,67,,,,BusinessmanU.S. House,Siena Heights University (BA),Yes
Darren Soto,Darren,Soto,Florida's 9th,Representative,Democratic,2016,Man,Hispanic - Puerto Rican,Christian - Roman Catholic,No,Won,N/A,2/25/1978,43,RepDarrenSoto,CongressmanDarrenSoto,repdarrensoto,Florida SenateFlorida House of Representatives,Rutgers University–New Brunswick (BA)George Washington University (JD),No
David Cicilline,David,Cicilline,Rhode Island's 1st,Representative,Democratic,2010,Man,White - Non-Hispanic,Jewish,Gay,Won,N/A,7/15/1961,59,RepCicilline,CongressmanDavidCicilline,RepDavidCicilline,Mayor of ProvidenceRhode Island House of Representatives,Brown University (BA)Georgetown University (JD),No
David Joyce,David,Joyce,Ohio's 14th,Representative,Republican,2012,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,3/17/1957,64,RepDaveJoyce,RepDaveJoyce,repdavejoyce,Geauga County Prosecutor,"University of Dayton (BS, JD)",No
David Kustoff,David,Kustoff,Tennessee's 8th,Representative,Republican,2016,Man,White - Non-Hispanic,Jewish,No,Won,N/A,10/8/1966,54,repdavidkustoff,RepDavidKustoff,,Attorney for the United States District Court for the Western District of Tennessee,"University of Memphis (BA, JD)",No
David McKinley,David,McKinley,West Virginia's 1st,Representative,Republican,2010,Man,White - Non-Hispanic,Christian - Protestant - Episcopalian,No,Won,N/A,3/28/1947,74,RepMcKinley,RepMcKinley,RepDavidMcKinley,West Virginia House of DelegatesBusinessman,Purdue University (BS),No
David Price,David,Price,North Carolina's 4th,Representative,Democratic,"1996, 1986-1994",Man,White - Non-Hispanic,Christian - Protestant - Baptist,No,Won,N/A,8/17/1940,80,RepDavidEPrice,RepDavidEPrice,RepDavidPrice,U.S. HouseCollege professor,"Mars Hill UniversityUniversity of North Carolina at Chapel Hill (BA)Yale University (BDiv, PhD)",No
David Rouzer,David,Rouzer,North Carolina's 7th,Representative,Republican,2014,Man,White - Non-Hispanic,Christian - Protestant - Southern Baptist,No,Won,N/A,2/16/1972,49,RepDavidRouzer,RepRouzer,,North Carolina Senate,North Carolina State University (BS),No
David Schweikert,David,Schweikert,Arizona's 6th,Representative,Republican,2010,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,3/3/1962,59,RepDavid,repdavidschweikert,RepDavidSchweikert,Arizona House of RepresentativesArizona Board of EducationArizona Board of EqualizationMaricopa County Treasurer,"Arizona State University, Tempe (BS, MBA)",No
David Scott,David,Scott,Georgia's 13th,Representative,Democratic,2002,Man,Black - African-American,Christian - Protestant - Baptist,No,Won,N/A,6/27/1945,76,RepDavidScott,113303673339,RepDavidScott,Georgia State SenateGeorgia House of Representatives,Florida A&M University (BA)University of Pennsylvania (MBA),No
David Trone,David,Trone,Maryland's 6th,Representative,Democratic,2018,Man,White - Non-Hispanic,Christian - Protestant - Lutheran,No,Won,N/A,9/21/1955,65,repdavidtrone,,,Businessman,Furman University (BA)University of Pennsylvania (MBA),No
David Valadao,David,Valadao,California's 21st,Representative,Republican,"2020, 2012-2018",Man,White - Portuguese-American,Christian - Roman Catholic,No,Lost,N/A,4/14/1977,44,,,,U.S. HouseCalifornia State AssemblyFarmer,College of the Sequoias,No
Dean Phillips,Dean,Phillips,Minnesota's 3rd,Representative,Democratic,2018,Man,White - Non-Hispanic,Jewish,No,Won,N/A,1/20/1969,52,RepDeanPhillips,,,Businessman,Brown University (BA)University of Minnesota (MBA),No
Debbie Dingell,Debbie,Dingell,Michigan's 12th,Representative,Democratic,2014,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,11/23/1953,67,RepDebDingell,RepDebbieDingell,,Lobbyist,"Georgetown University (BS, MS)",No
Debbie Lesko,Debbie,Lesko,Arizona's 8th,Representative,Republican,2018 Special,Woman,White - Non-Hispanic,Christian - Protestant,No,Won,N/A,11/14/1958,62,RepDLesko,RepDebbieLesko,,Arizona House of RepresentativesArizona SenatePresident Pro Tempore of Arizona Senate,University of Wisconsin–Madison (BA),No
Debbie Wasserman Schultz,Debbie,Wasserman Schultz,Florida's 23rd,Representative,Democratic,2004,Woman,White - Non-Hispanic,Jewish,No,Won,N/A,9/27/1966,54,RepDWStweets,RepDWS,RepWassermanSchultz,Florida SenateFlorida House of RepresentativesDemocratic National Committee Chair,"University of Florida (BA, MA)",No
Deborah Ross,Deborah,Ross,North Carolina's 2nd,Representative,Democratic,2020,Woman,White - Non-Hispanic,Unitarian Universalist,No,Open - Retired,N/A,6/20/1963,58,RepDeborahRoss,,,North Carolina House of Representatives,Brown University (AB)University of North Carolina at Chapel Hill (JD),No
Derek Kilmer,Derek,Kilmer,Washington's 6th,Representative,Democratic,2012,Man,White - Non-Hispanic,Christian - Protestant - Methodist,No,Won,N/A,1/1/1974,47,RepDerekKilmer,derek.kilmer,,Washington State Senate,"Princeton University (BA)University of Oxford (MA, PhD)",No
Devin Nunes,Devin,Nunes,California's 22nd,Representative,Republican,2002,Man,White - Portuguese-American,Christian - Roman Catholic,No,Won,N/A,10/1/1973,47,RepDevinNunes,,RepDevinNunes,California State Director for the United States Department of Agriculture's Rural Development Section,"College of the Sequoias  California Polytechnic State University (BS, MS)",No
Diana DeGette,Diana,DeGette,Colorado's 1st,Representative,Democratic,1996,Woman,White - Non-Hispanic,Christian - Protestant - Presbyterian,No,Won,N/A,7/29/1957,63,RepDianaDeGette,DianaDeGette,RepDianaDeGette,Colorado House of Representatives,Colorado College (BA)New York University (JD),No
Diana Harshbarger,Diana,Harshbarger,Tennessee's 1st,Representative,Republican,2020,Woman,White - Non-Hispanic,Christian - Protestant - Southern Baptist,No,Open - Retired,N/A,1/1/1960,61,RepHarshbarger,,,Pharmacist,East Tennessee State University (BS)Mercer University (PharmD),No
Dina Titus,Dina,Titus,Nevada's 1st,Representative,Democratic,"2012, 2008-2010",Woman,White - Non-Hispanic,Christian - Eastern Orthodox,No,Won,N/A,5/23/1950,71,RepDinaTitus,CongresswomanTitus,CongresswomanTitus,U.S. HouseNevada Senate,College of William & Mary (BA)University of Georgia (MA)Florida State University (PhD),No
Don Bacon,Don,Bacon,Nebraska's 2nd,Representative,Republican,2016,Man,White - Non-Hispanic,Christian - Protestant,No,Won,N/A,8/16/1963,57,repdonbacon,RepDonBacon,,U.S. Air Force Brigadier General,Northern Illinois University (BA)University of Phoenix (MBA)National Defense University (MA),Yes
Don Beyer,Don,Beyer,Virginia's 8th,Representative,Democratic,2014,Man,White - Non-Hispanic,Christian - Protestant - Episcopalian,No,Won,N/A,6/20/1950,71,RepDonBeyer,RepDonBeyer,,U.S. Ambassador to Switzerland and LiechtensteinLieutenant Governor of Virginia,Williams College (BA),No
Don Young,Don,Young,Alaska's At-Large,Representative,Republican,1973 Special,Man,White - Non-Hispanic,Christian - Protestant - Episcopalian,No,Won,N/A,6/9/1933,88,RepDonYoung,RepDonYoung,RepDonYoung,Ship captainMayor of Fort Yukon,"Yuba CollegeCalifornia State University, Chico (BA)",Yes
Donald McEachin,Donald,McEachin,Virginia's 4th,Representative,Democratic,2016,Man,Black - African-American,Christian - Protestant - Baptist,No,Won,N/A,10/10/1961,59,RepMcEachin,RepMcEachin,UCMoPYHuZ3fZho0ZixZCfiFg,Virginia SenateVirginia House of Delegates,American University (BA)University of Virginia (JD)Virginia Union University (MDiv),No
Donald Norcross,Donald,Norcross,New Jersey's 1st,Representative,Democratic,2014 Special,Man,White - Non-Hispanic,Christian - Protestant - Lutheran,No,Won,N/A,12/13/1958,62,DonaldNorcross,DonaldNorcrossNJ,,New Jersey SenateNew Jersey General Assembly,Camden County College,No
Donald Payne,Donald,Payne,New Jersey's 10th,Representative,Democratic,2012 Special,Man,Black - African-American,Christian - Protestant - Baptist,No,Won,N/A,12/17/1958,62,RepDonaldPayne,DonaldPayneJr,,Newark Municipal CouncilEssex County Freeholder,Kean University,No
Doris Matsui,Doris,Matsui,California's 6th,Representative,Democratic,2005 Special,Woman,Asian - Japanese,Christian - Protestant - Methodist,No,Won,N/A,9/25/1944,76,DorisMatsui,doris.matsui,RepDorisMatsui,Sacramento City Council,"University of California, Berkeley (BA)",No
Doug LaMalfa,Doug,LaMalfa,California's 1st,Representative,Republican,2012,Man,White - Non-Hispanic,Christian - Protestant,No,Won,N/A,7/2/1960,61,RepLaMalfa,RepLaMalfa,RepLaMalfa,California State SenateCalifornia State Assembly,Butte CollegeCalifornia Polytechnic State University (BS),No
Doug Lamborn,Doug,Lamborn,Colorado's 5th,Representative,Republican,2006,Man,White - Non-Hispanic,Christian - Protestant,No,Won,N/A,5/24/1954,67,RepDLamborn,CongressmanDougLamborn,CongressmanLamborn,President Pro Tempore of the Colorado SenateColorado House of Representatives,"University of Kansas (BS, JD)",No
Drew Ferguson,Drew,Ferguson,Georgia's 3rd,Representative,Republican,2016,Man,White - Non-Hispanic,Christian - Protestant - Nondenominational,No,Won,N/A,11/15/1966,54,RepDrewFerguson,RepDrewFerguson,UCuK7_j2sREWi_7wBAN477bg,Mayor of West Point,University of Georgia (BS)Augusta University (DMD),No
Dusty Johnson,Dusty,Johnson,South Dakota's At-Large,Representative,Republican,2018,Man,White - Non-Hispanic,Christian - Protestant,No,Won,N/A,9/30/1976,44,RepDustyJohnson,,,Chief of Staff to the Governor of South DakotaSouth Dakota Public Utilities Commission,University of South Dakota (BA)University of Kansas (MPA),No
Dutch Ruppersberger,Dutch,Ruppersberger,Maryland's 2nd,Representative,Democratic,2002,Man,White - Non-Hispanic,Christian - Protestant - Methodist,No,Won,N/A,1/31/1946,75,Call_Me_Dutch,DutchRupp,ruppersberger,Baltimore County ExecutiveChief of the Office of Investigative Division for Maryland's Department of JusticeBaltimore County Assistant State's Attorney,"Baltimore City CollegeUniversity of Maryland, College Park (BA)University of Baltimore (JD)",No
Dwight Evans,Dwight,Evans,Pennsylvania's 3rd,Representative,Democratic,2016,Man,Black - African-American,Christian - Protestant - Baptist,No,Won,N/A,5/16/1954,67,RepDwightEvans,RepDwightEvans,,Pennsylvania House of Representatives,Community College of Philadelphia (AA)La Salle University (BA),No
Earl Blumenauer,Earl,Blumenauer,Oregon's 3rd,Representative,Democratic,1996 Special,Man,White - Non-Hispanic,Unknown/Refused,No,Won,N/A,8/16/1948,72,BlumenauerMedia,,RepBlumenauer,Oregon House of Representatives  Multnomah County Commissioner  Portland City Commissioner,"Lewis & Clark College (BA, JD)",No
Ed Case,Ed,Case,Hawaii's 1st,Representative,Democratic,"2018, 2002-2006",Man,White - Non-Hispanic,Christian - Protestant,No,Won,N/A,9/27/1952,68,RepEdCase,,,U.S. HouseHawaii House of Representatives,"Williams College (BA)University of California, Hastings (JD)",No
Ed Perlmutter,Ed,Perlmutter,Colorado's 7th,Representative,Democratic,2006,Man,White - Non-Hispanic,Christian - Protestant,No,Won,N/A,5/1/1953,68,RepPerlmutter,RepPerlmutter,RepPerlmutter,Colorado Senate,"University of Colorado Boulder (BA, JD)",No
Eddie Bernice Johnson,Eddie Bernice,Johnson,Texas' 30th,Representative,Democratic,1992,Woman,Black - African-American,Christian - Protestant - Baptist,No,Won,N/A,12/3/1935,85,RepEBJ,CongresswomanEBJtx30,RepEddieBJohnson,Texas SenateNurse,"St Mary's College, IndianaTexas Christian University (BS)Southern Methodist University (MPA)",No
Elaine Luria,Elaine,Luria,Virginia's 2nd,Representative,Democratic,2018,Woman,White - Non-Hispanic,Jewish,No,Won,N/A,8/15/1975,45,RepElaineLuria,,,U.S. Navy Commander,United States Naval Academy (BS)Old Dominion University (MS),Yes
Elise Stefanik,Elise,Stefanik,New York's 21st,Representative,Republican,2014,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,7/2/1984,37,RepStefanik,RepEliseStefanik,,Civil servantPolitical activist,Harvard University (BA),No
Elissa Slotkin,Elissa,Slotkin,Michigan's 8th,Representative,Democratic,2018,Woman,White - Non-Hispanic,Jewish,No,Won,N/A,7/10/1976,44,RepSlotkin,,,Assistant Secretary of Defense for International Security Affairs,Cornell University (BA)Columbia University (MA),No
Emanuel Cleaver,Emanuel,Cleaver,Missouri's 5th,Representative,Democratic,2004,Man,Black - African-American,Christian - Protestant - Methodist,No,Won,N/A,10/26/1944,76,RepCleaver,emanuelcleaverii,repcleaver,Mayor of Kansas CityPastorRadio show host,Prairie View A&M University (BS)Saint Paul School of Theology (MDiv),No
Eric Swalwell,Eric,Swalwell,California's 15th,Representative,Democratic,2012,Man,White - Non-Hispanic,Christian - Protestant,No,Won,N/A,11/16/1980,40,RepSwalwell,CongressmanEricSwalwell,ericswalwell,Dublin City Council,"Campbell UniversityUniversity of Maryland, College Park (BA)University of Maryland, Baltimore (JD)",No
Filemón Vela,Filemón,Vela,Texas' 34th,Representative,Democratic,2012,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Won,N/A,2/13/1963,58,RepFilemonVela,USCongressmanFilemonVela,RepFilemonVela,Attorney,Georgetown University (BA)University of Texas at Austin (JD),No
Frank Lucas,Frank,Lucas,Oklahoma's 3rd,Representative,Republican,1994 Special,Man,White - Non-Hispanic,Christian - Protestant - Southern Baptist,No,Won,N/A,1/6/1960,61,RepFrankLucas,RepFrankLucas,RepFrankLucas,Oklahoma House of Representatives,Oklahoma State University–Stillwater (BS),No
Frank Mrvan,Frank,Mrvan,Indiana's 1st,Representative,Democratic,2020,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Open - Retired,N/A,4/16/1969,52,RepMrvan,,,North Township Trustee,Ball State University (BS),No
Frank Pallone,Frank,Pallone,New Jersey's 6th,Representative,Democratic,1988,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,10/30/1951,69,FrankPallone,repfrankpallone,repfrankpallone,New Jersey SenateLong Branch City Council,Middlebury College (BA)Tufts University (MA)Rutgers University–Camden (JD),No
Fred Keller,Fred,Keller,Pennsylvania's 12th,Representative,Republican,2019 Special,Man,White - Non-Hispanic,Christian - Protestant - United Church of Christ,No,Won,N/A,10/23/1965,55,RepFredKeller,CongressmanFredKeller,,Pennsylvania House of Representatives,–,No
Fred Upton,Fred,Upton,Michigan's 6th,Representative,Republican,1986,Man,White - Non-Hispanic,Christian - Protestant,No,Won,N/A,4/23/1953,68,RepFredUpton,RepFredUpton,RepFredUpton,U.S. government administrator,University of Michigan (BA),No
Frederica Wilson,Frederica,Wilson,Florida's 24th,Representative,Democratic,2010,Woman,Black - African-American,Christian - Protestant - Episcopalian,No,Won,N/A,11/5/1942,78,RepWilson,RepWilson,repfredericawilson,Florida SenateFlorida House of RepresentativesMiami-Dade County Public Schools Board,Fisk University (BA)University of Miami (MA),No
French Hill,French,Hill,Arkansas' 2nd,Representative,Republican,2014,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,12/5/1956,64,RepFrenchHill,RepFrenchHill,,Businessman,Vanderbilt University (BS),No
G.K. Butterfield,G.K.,Butterfield,North Carolina's 1st,Representative,Democratic,2004 Special,Man,Black - African-American/Bermudan,Christian - Protestant - Baptist,No,Won,N/A,4/27/1947,74,GKButterfield,congressmangkbutterfield,GKBNC01,North Carolina Supreme Court Justice,"North Carolina Central University (BA, JD)",Yes
Garret Graves,Garret,Graves,Louisiana's 6th,Representative,Republican,2014,Man,White - Middle Eastern - Lebanese,Christian - Roman Catholic,No,Won,N/A,1/31/1972,49,RepGarretGraves,CongressmanGarretGraves,,Louisiana Coastal Protection and Restoration Authority,University of AlabamaLouisiana Tech UniversityAmerican University,No
Gary Palmer,Gary,Palmer,Alabama's 6th,Representative,Republican,2014,Man,White - Non-Hispanic,Christian - Protestant - Presbyterian,No,Won,N/A,5/14/1954,67,USRepGaryPalmer,CongressmanGaryPalmer,,Policy analyst,University of Alabama (BS),No
Gerry Connolly,Gerry,Connolly,Virginia's 11th,Representative,Democratic,2008,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,3/30/1950,71,GerryConnolly,CongressmanGerryConnolly,repconnolly,Fairfax County Board of Supervisors Chair,"Maryknoll College (Glen Ellyn, Illinois)[88] (BA)Harvard University (MPA)",No
Glenn Grothman,Glenn,Grothman,Wisconsin's 6th,Representative,Republican,2014,Man,White - Non-Hispanic,Christian - Protestant - Lutheran,No,Won,N/A,7/3/1955,66,RepGrothman,RepGrothman,,Wisconsin SenateWisconsin State Assembly,"University of Wisconsin–Madison (BA, JD)",No
Glenn Thompson,Glenn,Thompson,Pennsylvania's 15th,Representative,Republican,2008,Man,White - Non-Hispanic,Christian - Protestant,No,Won,N/A,7/27/1959,61,CongressmanGT,CongressmanGT,CongressmanGT,Chair of the Centre County Republican Committee,Pennsylvania State University (BS)Temple University (MEd),No
Grace Meng,Grace,Meng,New York's 6th,Representative,Democratic,2012,Woman,Asian - Taiwanese,Christian - Protestant,No,Won,N/A,10/1/1975,45,RepGraceMeng,repgracemeng,,New York State Assembly,University of Michigan (BA)Yeshiva University (JD),No
Grace Napolitano,Grace,Napolitano,California's 32nd,Representative,Democratic,1998,Woman,Hispanic - Mexican,Christian - Roman Catholic,No,Won,N/A,12/4/1936,84,GraceNapolitano,RepGraceNapolitano,RepGraceNapolitano,California State Assembly,Cerritos CollegeTexas Southmost College,No
Greg Murphy,Greg,Murphy,North Carolina's 3rd,Representative,Republican,2019 Special,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,3/5/1963,58,RepGregMurphy,RepGregMurphy,,North Carolina House of Representatives,Davidson College (BA)University of North Carolina at Chapel Hill (MD),No
Greg Pence,Greg,Pence,Indiana's 6th,Representative,Republican,2018,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,11/14/1956,64,RepGregPence,,,Businessman,"Loyola University Chicago (BA, MBA)",Yes
Greg Stanton,Greg,Stanton,Arizona's 9th,Representative,Democratic,2018,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,3/8/1970,51,RepGregStanton,,,Mayor of Phoenix,Marquette University (BA)University of Michigan (JD),No
Greg Steube,Greg,Steube,Florida's 17th,Representative,Republican,2018,Man,White - Non-Hispanic,Christian - Protestant - Methodist,No,Won,N/A,5/19/1978,43,RepGregSteube,,,Florida SenateFlorida House of Representatives,"University of Florida (BS, JD)",Yes
Gregory Meeks,Gregory,Meeks,New York's 5th,Representative,Democratic,1998 Special,Man,Black - African-American,Christian - Protestant - Methodist,No,Won,N/A,9/25/1953,67,RepGregoryMeeks,gregorymeeksny05,gwmeeks,New York State Assembly,Adelphi University (BA)Howard University (JD),No
Gus Bilirakis,Gus,Bilirakis,Florida's 12th,Representative,Republican,2006,Man,White - Non-Hispanic,Christian - Eastern Orthodox,No,Won,N/A,2/8/1963,58,RepGusBilirakis,GusBilirakis,RepGusBilirakis,Florida House of Representatives,St. Petersburg CollegeUniversity of Florida (BA)Stetson University (JD),No
Guy Reschenthaler,Guy,Reschenthaler,Pennsylvania's 14th,Representative,Republican,2018,Man,White - Non-Hispanic,Christian - Protestant,No,Won,N/A,4/17/1983,38,GReschenthaler,,,Pennsylvania SenateJudgeU.S. Navy,"Pennsylvania State University, Behrend (BA)Duquesne University (JD)",Yes
Gwen Moore,Gwen,Moore,Wisconsin's 4th,Representative,Democratic,2004,Woman,Black - African-American,Christian - Protestant - Baptist,No,Won,N/A,4/18/1951,70,RepGwenMoore,GwenSMoore,RepGwenMoore,Wisconsin State SenateWisconsin State Assembly,Marquette University (BA),No
Hakeem Jeffries,Hakeem,Jeffries,New York's 8th,Representative,Democratic,2012,Man,Black - African-American,Christian - Protestant - Baptist,No,Won,N/A,8/4/1970,50,RepJeffries,RepHakeemJeffries,,New York State Assembly,Binghamton University (BA)Georgetown University (MPP)New York University (JD),No
Hal Rogers,Hal,Rogers,Kentucky's 5th,Representative,Republican,1980,Man,White - Non-Hispanic,Christian - Protestant - Southern Baptist,No,Won,N/A,12/31/1937,83,RepHalRogers,CongressmanHalRogers,RepHalRogers,Commonwealth's Attorney for Pulaski County and Rockcastle County,Western Kentucky University (BA)University of Kentucky (LLB),Yes
Haley Stevens,Haley,Stevens,Michigan's 11th,Representative,Democratic,2018,Woman,White - Non-Hispanic,Christian - Protestant,No,Won,N/A,6/24/1983,38,RepHaleyStevens,,,Presidential Task Force on the Auto Industry,"American University (BA, MA)",No
Hank Johnson,Hank,Johnson,Georgia's 4th,Representative,Democratic,2006,Man,Black - African-American,Buddhist - Soka Gakkai,No,Won,N/A,10/2/1954,66,RepHankJohnson,115356957005,RepHankJohnson,DeKalb County CommissionerAssociate Magistrate Judge,Clark Atlanta University (BA)Texas Southern University (JD),No
Henry Cuellar,Henry,Cuellar,Texas' 28th,Representative,Democratic,2004,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Won,N/A,9/19/1955,65,RepCuellar,152569121550,henrycuellar,Texas House of RepresentativesTexas Secretary of State,"Laredo Community CollegeGeorgetown University (BA)University of Texas at Austin (JD, PhD)Texas A&M International University (MA)",No
Ilhan Omar,Ilhan,Omar,Minnesota's 5th,Representative,Democratic,2018,Woman,Black - Somali,Muslim,No,Won,N/A,10/4/1981,39,Ilhan,,,Minnesota House of Representatives,North Dakota State University (BA),No
Jack Bergman,Jack,Bergman,Michigan's 1st,Representative,Republican,2016,Man,White - Non-Hispanic,Christian - Protestant - Lutheran,No,Won,N/A,2/2/1947,74,RepJackBergman,RepJackBergman,RepJackBergman,U.S. Marine Corps Lieutenant General,Gustavus Adolphus College (BA)University of West Florida (MBA),Yes
Jackie Speier,Jackie,Speier,California's 14th,Representative,Democratic,2008 Special,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,5/14/1950,71,RepSpeier,JackieSpeier,jackiespeierca12,California State SenateCalifornia State AssemblySan Mateo County Board of Supervisors,"University of California, Davis (BA)University of California, Hastings (JD)",No
Jackie Walorski,Jackie,Walorski,Indiana's 2nd,Representative,Republican,2012,Woman,White - Non-Hispanic,Christian - Evangelical Protestant,No,Won,N/A,8/17/1963,57,RepWalorski,RepJackieWalorski,repwalorski,Indiana House of Representatives,Liberty UniversityTaylor University (BA),No
Jahana Hayes,Jahana,Hayes,Connecticut's 5th,Representative,Democratic,2018,Woman,Black - African-American,Christian - Protestant - Methodist,No,Won,N/A,3/8/1973,48,RepJahanaHayes,,,Teacher,Naugatuck Valley Community CollegeSouthern Connecticut State University (BA)University of Saint Joseph (MA)University of Bridgeport (SYC),No
Jaime Herrera Beutler,Jaime Herrera,Beutler,Washington's 3rd,Representative,Republican,2010,Woman,Hispanic - Mexican,Christian - Protestant,No,Won,N/A,11/3/1978,42,HerreraBeutler,herrerabeutler,RepHerreraBeutler,Washington House of Representatives,Bellevue CollegeUniversity of Washington (BA),No
Jake Auchincloss,Jake,Auchincloss,Massachusetts' 4th,Representative,Democratic,2020,Man,White - Non-Hispanic,Jewish,No,Open - Ran for Senate,N/A,1/29/1988,33,RepAuchincloss,,,Newton City Council,Harvard University (BA)Massachusetts Institute of Technology (MBA),Yes
Jake LaTurner,Jake,LaTurner,Kansas' 2nd,Representative,Republican,2020,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Open - Lost in primary,N/A,2/17/1988,33,RepLaTurner,,,Kansas State Treasurer  Kansas Senate,Pittsburg State University (BA),No
Jamaal Bowman,Jamaal,Bowman,New York's 16th,Representative,Democratic,2020,Man,Black - African-American,Unknown/Refused,No,Open - Lost in primary,N/A,4/1/1976,45,RepBowman,,,Middle school principal,University of New Haven (BA)Mercy College (MA)Manhattanville College (EdD),No
James Comer,James,Comer,Kentucky's 1st,Representative,Republican,2016,Man,White - Non-Hispanic,Christian - Protestant - Southern Baptist,No,Won,N/A,8/19/1972,48,RepJamesComer,congressmancomer,,Kentucky House of RepresentativesAgriculture Commissioner of Kentucky,Western Kentucky University (BS),No
Jamie Raskin,Jamie,Raskin,Maryland's 8th,Representative,Democratic,2016,Man,White - Non-Hispanic,Jewish,No,Won,N/A,12/13/1962,58,repraskin,repraskin,,Maryland State Senate Majority Whip,"Harvard University (BA, JD)",No
Jan Schakowsky,Jan,Schakowsky,Illinois' 9th,Representative,Democratic,1998,Woman,White - Non-Hispanic,Jewish,No,Won,N/A,5/26/1944,77,JanSchakowsky,janschakowsky,repschakowsky,Illinois House of Representatives,University of Illinois at Urbana–Champaign (BS),No
Jared Golden,Jared,Golden,Maine's 2nd,Representative,Democratic,2018,Man,White - Non-Hispanic,Unknown/Refused,No,Won,N/A,7/25/1982,38,repgolden,,,Maine House of Representatives,"University of Maine, FarmingtonBates College (BA)",Yes
Jared Huffman,Jared,Huffman,California's 2nd,Representative,Democratic,2012,Man,White - Non-Hispanic,Unknown/Refused,No,Won,N/A,2/18/1964,57,RepHuffman,RepHuffman,rephuffman,California State Assembly,"University of California, Santa Barbara (BA)Boston College (JD)",No
Jason Crow,Jason,Crow,Colorado's 6th,Representative,Democratic,2018,Man,White - Non-Hispanic,Christian - Protestant - Nondenominational,No,Won,N/A,3/15/1979,42,RepJasonCrow,,,AttorneyU.S. Army Captain,"University of Wisconsin, Madison (BA)University of Denver (JD)",Yes
Jason Smith,Jason,Smith,Missouri's 8th,Representative,Republican,2013 Special,Man,White - Non-Hispanic,Christian - Evangelical Protestant - Pentecostal,No,Won,N/A,6/16/1980,41,RepJasonSmith,repjasonsmith,RepJasonSmith,Missouri House of Representatives,University of Missouri (BS)Oklahoma City University (JD),No
Jay Obernolte,Jay,Obernolte,California's 8th,Representative,Republican,2020,Man,White - Non-Hispanic,Christian - Protestant,No,Open - Ran for county board of supervisors,N/A,8/18/1970,50,JayObernolte,,,California State AssemblyVideo game developer,"California Institute of Technology (BS) University of California, Los Angeles (MS)",No
Jeff Duncan,Jeff,Duncan,South Carolina's 3rd,Representative,Republican,2010,Man,White - Non-Hispanic,Christian - Protestant - Southern Baptist,No,Won,N/A,1/7/1966,55,RepJeffDuncan,RepJeffDuncan,congjeffduncan,South Carolina House of Representatives,Clemson University (BA),No
